START_DATE,count
03/30/1992,1
09/30/2004,1
05/28/2010,1
08/11/2011,1
11/21/2011,1
11/06/2013,1
04/16/2016,1
06/01/2016,1
05/31/2017,1
06/09/2017,1
03/15/2018,1
03/16/2018,1
08/28/2018,1
10/20/2019,1
10/28/2019,1
12/17/2019,1
12/25/2019,1
05/05/2020,1
05/20/2020,1
07/31/2020,1
09/15/2020,1
11/24/2020,1
01/01/2021,1
01/05/2021,1
01/10/2021,1
01/15/2021,1
01/24/2021,1
03/01/2021,1
04/21/2021,1
06/01/2021,1
06/02/2021,1
06/08/2021,1
07/01/2021,1
07/03/2021,1
07/07/2021,1
07/07/2021,1
08/01/2021,1
08/03/2021,1
08/13/2021,1
08/15/2021,1
08/15/2021,1
08/25/2021,1
08/29/2021,1
09/03/2021,1
09/07/2021,1
09/09/2021,1
09/10/2021,1
09/12/2021,1
09/13/2021,1
09/15/2021,1
09/18/2021,1
09/30/2021,1
10/01/2021,1
10/03/2021,1
10/05/2021,1
10/15/2021,1
10/17/2021,1
10/22/2021,1
10/28/2021,1
10/29/2021,1
10/30/2021,1
11/01/2021,1
11/01/2021,1
11/01/2021,1
11/02/2021,1
11/02/2021,1
11/03/2021,1
11/09/2021,1
11/09/2021,1
11/11/2021,1
11/12/2021,1
11/13/2021,1
11/13/2021,1
11/15/2021,1
11/15/2021,1
11/15/2021,1
11/20/2021,1
11/20/2021,1
11/20/2021,1
11/21/2021,1
11/21/2021,1
11/22/2021,1
11/22/2021,1
11/22/2021,1
11/23/2021,1
11/23/2021,1
11/24/2021,1
11/24/2021,1
11/30/2021,1
11/30/2021,1
12/01/2021,1
12/01/2021,1
12/01/2021,3
12/01/2021,1
12/01/2021,1
12/02/2021,1
12/02/2021,1
12/03/2021,1
12/06/2021,1
12/07/2021,1
12/07/2021,1
12/07/2021,1
12/08/2021,1
12/09/2021,1
12/10/2021,1
12/10/2021,1
12/10/2021,2
12/11/2021,1
12/11/2021,1
12/12/2021,1
12/12/2021,1
12/12/2021,1
12/13/2021,1
12/14/2021,1
12/14/2021,1
12/15/2021,1
12/15/2021,1
12/15/2021,1
12/15/2021,1
12/15/2021,1
12/16/2021,1
12/16/2021,1
12/17/2021,1
12/17/2021,2
12/17/2021,1
12/17/2021,1
12/18/2021,1
12/18/2021,1
12/19/2021,1
12/19/2021,1
12/19/2021,1
12/19/2021,1
12/19/2021,1
12/20/2021,1
12/20/2021,1
12/20/2021,1
12/20/2021,1
12/20/2021,1
12/20/2021,1
12/20/2021,1
12/21/2021,1
12/21/2021,1
12/21/2021,1
12/21/2021,1
12/21/2021,1
12/21/2021,1
12/22/2021,1
12/22/2021,1
12/22/2021,1
12/23/2021,1
12/23/2021,1
12/23/2021,1
12/23/2021,1
12/24/2021,1
12/24/2021,1
12/24/2021,1
12/24/2021,1
12/24/2021,1
12/24/2021,1
12/24/2021,1
12/24/2021,1
12/24/2021,1
12/24/2021,1
12/25/2021,1
12/25/2021,1
12/26/2021,1
12/26/2021,1
12/26/2021,1
12/26/2021,1
12/27/2021,1
12/27/2021,1
12/27/2021,1
12/27/2021,1
12/27/2021,1
12/27/2021,1
12/27/2021,1
12/27/2021,1
12/27/2021,1
12/28/2021,1
12/28/2021,1
12/28/2021,1
12/28/2021,1
12/28/2021,1
12/28/2021,1
12/28/2021,1
12/28/2021,2
12/28/2021,1
12/28/2021,2
12/28/2021,1
12/29/2021,1
12/29/2021,1
12/29/2021,1
12/29/2021,1
12/29/2021,1
12/29/2021,1
12/29/2021,1
12/29/2021,1
12/29/2021,1
12/29/2021,1
12/29/2021,1
12/30/2021,1
12/30/2021,1
12/30/2021,1
12/30/2021,2
12/30/2021,1
12/30/2021,1
12/30/2021,1
12/30/2021,1
12/30/2021,1
12/30/2021,1
12/30/2021,1
12/31/2021,1
12/31/2021,1
12/31/2021,1
12/31/2021,1
12/31/2021,3
12/31/2021,1
12/31/2021,1
12/31/2021,3
12/31/2021,1
12/31/2021,1
12/31/2021,2
12/31/2021,1
12/31/2021,1
12/31/2021,2
12/31/2021,1
01/01/2022,2
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,3
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,2
01/01/2022,1
01/01/2022,3
01/01/2022,1
01/01/2022,2
01/01/2022,1
01/01/2022,3
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,2
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,2
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,2
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,3
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,1
01/01/2022,2
01/01/2022,1
01/01/2022,3
01/01/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,2
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,2
01/02/2022,2
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,2
01/02/2022,1
01/02/2022,2
01/02/2022,1
01/02/2022,1
01/02/2022,2
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,1
01/02/2022,2
01/02/2022,1
01/02/2022,1
01/03/2022,2
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,2
01/03/2022,1
01/03/2022,1
01/03/2022,2
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,2
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,1
01/03/2022,2
01/03/2022,1
01/03/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/04/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,1
01/05/2022,2
01/05/2022,1
01/05/2022,1
