X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
397241,140302,20009246,2020/01/16 06:29:55+00,2020/01/16 05:03:32+00,2020/01/16 05:57:44+00,1325 - 1399 BLOCK OF PARK ROAD NW,THEFT/OTHER,OTHERS,MIDNIGHT,1,1A,3,302,Cluster 2,002900 2,002900,Precinct 41,,397241,140302,38.9305942609,-77.0318199318,958521136,
396307,137321,20009771,2020/01/17 02:02:02+00,2020/01/17 00:30:01+00,2020/01/17 01:30:56+00,1800 - 1899 BLOCK OF L STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396307,137321,38.9037370021,-77.0425758481,958521137,
402796,133416,20009968,2020/01/17 12:42:30+00,2020/01/14 19:00:25+00,2020/01/15 12:00:24+00,1700 - 1899 BLOCK OF 28TH STREET SE,THEFT/OTHER,OTHERS,DAY,7,7B,6,607,Cluster 34,007604 1,007604,Precinct 111,,402796,133416,38.8685625898,-76.967781371,958521138,
396567,138305,20010625,2020/01/18 09:56:17+00,2020/01/18 04:45:16+00,2020/01/18 08:40:40+00,1700 - 1749 BLOCK OF R STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2B,3,301,Cluster 6,005302 3,005302,Precinct 15,,396567,138305,38.9126022668,-77.0395832802,958521139,
402136,140690,20011067,2020/01/19 04:31:28+00,2020/01/19 00:15:01+00,2020/01/19 04:06:36+00,2000 - 2175 BLOCK OF NEWTON STREET NE,BURGLARY,OTHERS,MIDNIGHT,5,5B,5,503,Cluster 22,009400 2,009400,Precinct 70,,402136,140690,38.9340912184,-76.9753640061,958521140,
397700,136611,20011330,2020/01/19 17:41:53+00,2020/01/19 16:00:32+00,2020/01/19 16:30:01+00,1000 - 1099 BLOCK OF F STREET NW,THEFT/OTHER,OTHERS,DAY,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,DOWNTOWN,397700,136611,38.8973458172,-77.0265138574,958521141,
397964,137002,20011490,2020/01/19 23:59:36+00,2020/01/19 20:30:08+00,2020/01/19 20:37:04+00,800 - 901 BLOCK OF I STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,DOWNTOWN,397964,137002,38.9008687369,-77.0234716867,958521142,
401521,136902,20011729,2020/01/20 15:03:09+00,2020/01/19 23:00:12+00,2020/01/20 15:00:42+00,1500 - 1599 BLOCK OF BENNING ROAD NE,THEFT/OTHER,OTHERS,DAY,7,7D,5,507,Cluster 25,007901 4,007901,Precinct 81,,401521,136902,38.8999689431,-76.9824656262,958521143,
396754,139785,20011973,2020/01/20 23:04:50+00,2020/01/20 05:00:17+00,2020/01/20 22:00:09+00,1610 - 1631 BLOCK OF COLUMBIA ROAD NW,THEFT F/AUTO,OTHERS,EVENING,1,1C,3,303,Cluster 1,003901 1,003901,Precinct 35,ADAMS MORGAN,396754,139785,38.9259353,-77.037434125,958521144,
406139,136306,20012437,2020/01/21 21:02:36+00,2020/01/16 21:30:41+00,2020/01/16 21:35:53+00,300 - 409 BLOCK OF 50TH STREET NE,THEFT/OTHER,OTHERS,EVENING,7,7C,6,602,Cluster 31,007804 2,007804,Precinct 97,,406139,136306,38.8945798398,-76.929233794,958521145,
401542,135587,20401403,2020/09/17 00:13:54+00,2020/09/16 23:05:00+00,2020/09/16 23:11:00+00,100 - 199 BLOCK OF 16TH STREET SE,THEFT/OTHER,OTHERS,EVENING,7,7D,1,107,Cluster 26,006801 2,006801,Precinct 87,,401542,135587,38.8881229028,-76.9822264858,958521216,
395317,139759,20401420,2020/09/18 20:54:10+00,2020/09/18 20:30:00+00,2020/09/18 20:40:00+00,2600 - 2699 BLOCK OF WOODLEY ROAD NW,THEFT F/AUTO,OTHERS,EVENING,3,3C,2,204,Cluster 15,000501 3,000501,Precinct 26,,395317,139759,38.9256946006,-77.0540059831,958521217,
397632,137367,20401590,2020/10/12 17:42:22+00,2020/09/11 13:49:00+00,2020/09/11 13:59:00+00,1100 - 1199 BLOCK OF L STREET NW,THEFT/OTHER,OTHERS,DAY,2,2F,3,307,Cluster 8,005004 3,005004,Precinct 17,,397632,137367,38.9041559545,-77.0273003516,958521218,
397243,140420,20401614,2020/10/17 19:58:30+00,2020/10/17 17:50:00+00,2020/10/17 17:53:00+00,1330 - 1399 BLOCK OF MONROE STREET NW,THEFT/OTHER,OTHERS,EVENING,1,1A,3,302,Cluster 2,002900 2,002900,Precinct 41,,397243,140420,38.9316572473,-77.0317973395,958521219,
398945,138752,20401651,2020/10/13 01:56:43+00,2020/09/25 20:45:00+00,2020/09/26 13:45:00+00,1918 - 1999 BLOCK OF 1ST STREET NW,THEFT/OTHER,OTHERS,EVENING,5,5E,3,306,Cluster 21,003301 2,003301,Precinct 135,,398945,138752,38.9166350639,-77.0121650804,958521220,
394554,137317,20401724,2020/11/08 17:39:37+00,2020/11/08 15:00:00+00,2020/11/08 15:20:00+00,1026 - 1051 BLOCK OF WISCONSIN AVENUE NW,THEFT F/AUTO,OTHERS,DAY,2,2E,2,206,Cluster 4,000202 4,000202,Precinct 6,GEORGETOWN,394554,137317,38.9036918556,-77.0627857926,958521221,
394949,140320,20401818,2020/11/27 15:42:12+00,2020/11/24 23:20:00+00,2020/11/25 20:20:00+00,2731 - 2899 BLOCK OF DEVONSHIRE PLACE NW,THEFT F/AUTO,OTHERS,DAY,3,3C,2,204,Cluster 15,000502 2,000502,Precinct 26,,394949,140320,38.9307462243,-77.0582540143,958521222,
399950,136696,20401838,2020/11/23 15:32:59+00,2020/11/21 14:55:00+00,2020/11/23 04:55:00+00,600 - 699 BLOCK OF 4TH STREET NE,THEFT/OTHER,OTHERS,DAY,6,6C,1,104,Cluster 25,008301 1,008301,Precinct 84,,399950,136696,38.8981145354,-77.0005763944,958521223,
400962,137617,20401939,2020/12/23 00:44:10+00,2020/12/23 00:12:00+00,2020/12/23 00:13:00+00,1100 - 1199 BLOCK OF OWEN PLACE NE,THEFT/OTHER,OTHERS,EVENING,5,5D,5,506,Cluster 23,008802 4,008802,Precinct 77,,400962,137617,38.9064107052,-76.9889088817,958521224,
403056,132767,20168192,2020/11/25 14:32:55+00,2020/11/25 13:10:15+00,2020/11/25 14:33:09+00,2200 - 2204 BLOCK OF 30TH STREET SE,MOTOR VEHICLE THEFT,OTHERS,DAY,7,7B,6,606,Cluster 35,007604 4,007604,Precinct 113,,403056,132767,38.8627152656,-76.964788246,958522136,
397654,136665,20168353,2020/11/25 20:54:52+00,2020/11/23 19:50:36+00,2020/11/23 19:55:05+00,600 - 699 BLOCK OF 11TH STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,DOWNTOWN,397654,136665,38.8978321472,-77.0270443189,958522137,
403178,140404,20168489,2020/11/26 01:25:39+00,2020/11/25 22:56:41+00,,3200 - 3299 BLOCK OF WALNUT STREET NE,ASSAULT W/DANGEROUS WEAPON,GUN,EVENING,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,,403178,140404,38.9315116926,-76.963347211,958522138,
